game_id,points,reached_target,stopping_reason,moves_to_target
0,10015,YES,REACHED_TARGET,313
1,10025,YES,REACHED_TARGET,290
2,10000,YES,REACHED_TARGET,295
3,10030,YES,REACHED_TARGET,326
4,10000,YES,REACHED_TARGET,305
5,10045,YES,REACHED_TARGET,330
6,10000,YES,REACHED_TARGET,302
7,10020,YES,REACHED_TARGET,280
8,10005,YES,REACHED_TARGET,317
9,10000,YES,REACHED_TARGET,330
10,10005,YES,REACHED_TARGET,314
11,10010,YES,REACHED_TARGET,298
12,10010,YES,REACHED_TARGET,329
13,10000,YES,REACHED_TARGET,326
14,10000,YES,REACHED_TARGET,295
15,10000,YES,REACHED_TARGET,292
16,10015,YES,REACHED_TARGET,298
17,10005,YES,REACHED_TARGET,302
18,10000,YES,REACHED_TARGET,275
19,10000,YES,REACHED_TARGET,291
20,10000,YES,REACHED_TARGET,319
21,10000,YES,REACHED_TARGET,319
22,10000,YES,REACHED_TARGET,306
23,10000,YES,REACHED_TARGET,289
24,10020,YES,REACHED_TARGET,321
25,10010,YES,REACHED_TARGET,303
26,10000,YES,REACHED_TARGET,332
27,10000,YES,REACHED_TARGET,309
28,10010,YES,REACHED_TARGET,313
29,10000,YES,REACHED_TARGET,309
30,10030,YES,REACHED_TARGET,330
31,10010,YES,REACHED_TARGET,276
32,10000,YES,REACHED_TARGET,325
33,10005,YES,REACHED_TARGET,287
34,10000,YES,REACHED_TARGET,280
35,10000,YES,REACHED_TARGET,279
36,10000,YES,REACHED_TARGET,324
37,10000,YES,REACHED_TARGET,309
38,10000,YES,REACHED_TARGET,312
39,10005,YES,REACHED_TARGET,312
40,10005,YES,REACHED_TARGET,365
41,10005,YES,REACHED_TARGET,346
42,10005,YES,REACHED_TARGET,280
43,10000,YES,REACHED_TARGET,284
44,10000,YES,REACHED_TARGET,316
45,10000,YES,REACHED_TARGET,310
46,10005,YES,REACHED_TARGET,319
47,10010,YES,REACHED_TARGET,318
48,10040,YES,REACHED_TARGET,317
49,10010,YES,REACHED_TARGET,319
50,10015,YES,REACHED_TARGET,299
51,10000,YES,REACHED_TARGET,319
52,10000,YES,REACHED_TARGET,290
53,10000,YES,REACHED_TARGET,285
54,10000,YES,REACHED_TARGET,284
55,10000,YES,REACHED_TARGET,306
56,10000,YES,REACHED_TARGET,317
57,10010,YES,REACHED_TARGET,330
58,10035,YES,REACHED_TARGET,332
59,10000,YES,REACHED_TARGET,308
60,10005,YES,REACHED_TARGET,341
61,10010,YES,REACHED_TARGET,306
62,10000,YES,REACHED_TARGET,293
63,10010,YES,REACHED_TARGET,323
64,10000,YES,REACHED_TARGET,292
65,10000,YES,REACHED_TARGET,298
66,10000,YES,REACHED_TARGET,285
67,10000,YES,REACHED_TARGET,313
68,10000,YES,REACHED_TARGET,300
69,10000,YES,REACHED_TARGET,312
70,10045,YES,REACHED_TARGET,313
71,10000,YES,REACHED_TARGET,323
72,10005,YES,REACHED_TARGET,305
73,10010,YES,REACHED_TARGET,296
74,10030,YES,REACHED_TARGET,291
75,10020,YES,REACHED_TARGET,342
76,10005,YES,REACHED_TARGET,288
77,10010,YES,REACHED_TARGET,296
78,10010,YES,REACHED_TARGET,306
79,10010,YES,REACHED_TARGET,294
80,10005,YES,REACHED_TARGET,303
81,10000,YES,REACHED_TARGET,287
82,10015,YES,REACHED_TARGET,285
83,10010,YES,REACHED_TARGET,312
84,10030,YES,REACHED_TARGET,307
85,10000,YES,REACHED_TARGET,288
86,10000,YES,REACHED_TARGET,298
87,10000,YES,REACHED_TARGET,287
88,10015,YES,REACHED_TARGET,285
89,10010,YES,REACHED_TARGET,297
90,10005,YES,REACHED_TARGET,311
91,10000,YES,REACHED_TARGET,299
92,10005,YES,REACHED_TARGET,304
93,10040,YES,REACHED_TARGET,309
94,10000,YES,REACHED_TARGET,299
95,10015,YES,REACHED_TARGET,328
96,10000,YES,REACHED_TARGET,309
97,10010,YES,REACHED_TARGET,285
98,10000,YES,REACHED_TARGET,304
99,10000,YES,REACHED_TARGET,328
